2021-09-03 16:02:10,279 [INFO  IM] - <BaseSocket.cpp>|<90>|<Connect>,CBaseSocket::Connect, server_ip=10.211.55.13, port=10600
2021-09-03 16:02:10,279 [INFO  IM] - <DBServConn.cpp>|<196>|<OnClose>,onclose from db server handle=7
2021-09-03 16:02:10,280 [INFO  IM] - <DBServConn.cpp>|<196>|<OnClose>,onclose from db server handle=8
2021-09-03 16:02:10,280 [INFO  IM] - <DBServConn.cpp>|<196>|<OnClose>,onclose from db server handle=9
2021-09-03 16:02:10,280 [INFO  IM] - <DBServConn.cpp>|<196>|<OnClose>,onclose from db server handle=10
2021-09-03 16:02:10,281 [INFO  IM] - <DBServConn.cpp>|<196>|<OnClose>,onclose from db server handle=11
2021-09-03 16:02:10,281 [INFO  IM] - <DBServConn.cpp>|<196>|<OnClose>,onclose from db server handle=12
2021-09-03 16:02:10,281 [INFO  IM] - <DBServConn.cpp>|<196>|<OnClose>,onclose from db server handle=13
2021-09-03 16:02:10,281 [INFO  IM] - <DBServConn.cpp>|<196>|<OnClose>,onclose from db server handle=14
2021-09-03 16:02:18,244 [INFO  IM] - <DBServConn.cpp>|<162>|<Connect>,Connecting to DB Storage Server 10.211.55.13:10600
2021-09-03 16:02:18,246 [INFO  IM] - <BaseSocket.cpp>|<90>|<Connect>,CBaseSocket::Connect, server_ip=10.211.55.13, port=10600
2021-09-03 16:02:18,250 [INFO  IM] - <DBServConn.cpp>|<162>|<Connect>,Connecting to DB Storage Server 10.211.55.13:10600
2021-09-03 16:02:18,251 [INFO  IM] - <BaseSocket.cpp>|<90>|<Connect>,CBaseSocket::Connect, server_ip=10.211.55.13, port=10600
2021-09-03 16:02:18,252 [INFO  IM] - <DBServConn.cpp>|<162>|<Connect>,Connecting to DB Storage Server 10.211.55.13:10600
2021-09-03 16:02:18,254 [INFO  IM] - <BaseSocket.cpp>|<90>|<Connect>,CBaseSocket::Connect, server_ip=10.211.55.13, port=10600
2021-09-03 16:02:18,255 [INFO  IM] - <DBServConn.cpp>|<162>|<Connect>,Connecting to DB Storage Server 10.211.55.13:10600
2021-09-03 16:02:18,265 [INFO  IM] - <BaseSocket.cpp>|<90>|<Connect>,CBaseSocket::Connect, server_ip=10.211.55.13, port=10600
2021-09-03 16:02:18,266 [INFO  IM] - <DBServConn.cpp>|<162>|<Connect>,Connecting to DB Storage Server 10.211.55.13:10600
2021-09-03 16:02:18,269 [INFO  IM] - <BaseSocket.cpp>|<90>|<Connect>,CBaseSocket::Connect, server_ip=10.211.55.13, port=10600
2021-09-03 16:02:18,270 [INFO  IM] - <DBServConn.cpp>|<162>|<Connect>,Connecting to DB Storage Server 10.211.55.13:10600
